
WARNING | Sat Jun 29 10:45:58 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 12:56:59 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 13:06:52 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 15:35:12 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 16:04:38 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 16:04:39 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 16:40:05 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 16:40:05 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 19:24:24 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 20:34:33 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 20:34:35 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 20:39:52 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 21:28:02 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul  1 19:58:27 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul  1 21:50:21 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul  3 20:27:33 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 04:51:53 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 04:58:22 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 06:33:06 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 06:40:39 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 09:21:16 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 10:05:51 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 10:49:55 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sun Jul  7 16:40:11 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul  8 06:24:41 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jul  8 13:51:58 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul  9 19:45:22 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Tue Jul  9 19:45:22 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 10 01:17:13 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 10 07:49:10 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jul 10 09:44:40 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Thu Jul 11 02:23:26 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Thu Jul 11 09:48:18 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Thu Jul 11 20:43:14 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jul 12 11:16:22 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jul 12 11:16:30 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jul 12 17:23:48 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jul 13 10:29:22 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jul 13 11:25:56 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
